pituus;syvyys;pinta_ala;pyoreys;lento_km
51,642;27,062;892,8;0,135677653;4429,837815
51,537;26,419;867,017;0,132296876;3588,946757
51,421;26,817;868,197;0,133075311;4020,106837
52,193;25,227;824,739;0,122702174;4429,837815
52,193;25,227;824,739;0,122702174;2444,434627
52,548;26,165;875,819;0,128547083;3508,102606
51,827;27,015;905,684;0,136654772;3649,202627
51,853;27,384;897,881;0,135341583;2937,572944
52,226;26,94;887,808;0,13191852;3649,202627
52,088;25,886;848,925;0,126810205;2554,543392
51,26;26,874;880,338;0,135785217;2894,16045
50,612;26,399;857,013;0,135594058;2519,53475
51,808;27,314;891,696;0,134642885;2366,055726
51,055;25,067;818,713;0,12729618;3525,788543
51,906;26,46;868,162;0,130594803;3588,946757
51,594;26,494;874,389;0,133127119;3726,207581
52,241;26,835;888,183;0,131898464;1554,375907
51,614;26,63;880,026;0,133881545;3760,812589
51,399;26,26;861,491;0,132160493;3723,233188
53,162;26,075;853,354;0,122373351;3588,946757
53,299;26,408;894,209;0,127573703;3176,169391
51,276;26,94;877,208;0,135218014;3525,788543
52,978;27,52;919,666;0,132800362;3649,202627
52,066;26,814;898,978;0,134400499;3516,14102
52,645;26,201;889,551;0,13008189;998,5150397
50,963;25,565;818,88;0,127782252;2414,382004
52,692;26,637;887,413;0,129537845;2927,982521
52,105;25,814;859,225;0,128265055;3649,202627
52,702;26,248;875,028;0,127681508;3070,93417
51,898;26,376;870,849;0,131039389;4162,623184
50,826;25,571;842,573;0,132189183;1123,27682
50,826;25,571;842,573;0,132189183;2366,055726
50,826;25,571;842,573;0,132189183;3649,202627
51,747;27,71;902,866;0,136651119;3900,092851
51,635;26,792;865,829;0,131614583;3588,946757
50,871;27,394;884,761;0,138562486;2730,241602
51,923;26,649;883,247;0,132777003;3649,202627
51,702;26,796;893,337;0,135444346;2403,5155
51,316;26,619;865,26;0,13316843;2183,722742
51,316;26,619;865,26;0,13316843;2424,017815
51,316;26,619;865,26;0,13316843;1895,716318
52,766;26,942;908,397;0,132229267;3581,745286
52,391;26,218;869,377;0,12836748;2602,757745
51,301;27,465;909,426;0,14004769;4429,837815
51,598;24,986;833,576;0,126893598;3350,890701
51,334;26,004;844,038;0,129811161;3649,202627
52,45;26,615;895,507;0,131928385;3525,788543
52,021;26,407;869,557;0,130226962;2028,859166
52,823;27,093;908,01;0,131887839;3760,812589
52,036;27,054;908,246;0,135942712;3900,092851
50,679;26,564;852,153;0,134468868;2366,055726
51,984;26,61;880,284;0,132021197;2447,560326
51,876;27,515;918,958;0,138395811;1123,27682
52,348;26,594;838,436;0,124002367;3588,946757
52,348;26,594;838,436;0,124002367;2414,382004
52,348;26,594;838,436;0,124002367;3581,745286
51,958;27,447;900,672;0,135214123;2366,055726
50,298;26,267;845,225;0,135403892;3760,812589
51,687;25,864;860,921;0,130605329;2286,146357
51,964;26,765;885,441;0,132896862;3588,946757
51,59;26,433;872,778;0,132902448;3017,805215
51,465;26,836;874,736;0,133848433;2395,73747
51,228;26,983;908,912;0,140367732;3000,1148
52,714;26,527;888,433;0,12957851;2424,017815
51,63;26,662;875,542;0,133116834;3588,946757
51,642;26,915;887,378;0,134853678;3577,07446
51,742;27,183;906,073;0,137163012;3760,812589
52,381;27,313;909,086;0,134281952;3760,812589
51,501;27,37;891,481;0,136220043;3588,946757
52,546;26,703;890,641;0,130732512;2334,14879
52,352;26,402;877,43;0,129749642;4429,837815
51,968;27,219;896,278;0,134502692;1828,188443
51,968;27,219;896,278;0,134502692;2541,515648
51,968;27,219;896,278;0,134502692;2924,209933
51,948;27,008;900,846;0,135292318;1739,41768
52,609;26,73;864,295;0,126561657;2414,382004
50,672;25,794;842,421;0,132969899;3900,092851
52,679;26,215;857,853;0,125284711;3649,202627
52,907;26,476;875,174;0,126715103;2424,017815
53,151;27,269;918,576;0,131780897;3525,788543
52,642;27,585;923,456;0,135055319;3649,202627
52,622;26,405;880,776;0,128911309;3760,812589
52,156;27,061;905,011;0,134835904;3588,946757
51,813;27,382;910,377;0,13743712;3900,092851
51,857;26,792;885,08;0,133391451;2424,017815
52,845;27,579;933,955;0,135543405;3513,169014
52,164;27,018;907,508;0,135166459;2971,682207
52,946;26,417;903,553;0,130631396;3633,097227
52,919;26,573;904,469;0,130897296;2554,543392
51,317;26,29;854,486;0,131505125;3900,092851
51,814;27,797;896,538;0,13534266;4429,837815
52,886;26,801;889,46;0,128885846;3350,890701
53,77;27,497;938,347;0,131535701;3900,092851
52,009;26,121;857,315;0,128452825;4153,167433
51,854;25,827;849,057;0,127977189;3366,00856
51,884;26,926;873,278;0,131475813;3741,250945
52,468;26,495;877,853;0,129238832;3900,092851
52,17;26,912;885,49;0,131856709;3649,202627
51,574;27,08;890,023;0,135612538;3742,605965
52,094;25,819;856,09;0,127851038;2635,916397
53,212;27,739;935,362;0,133881572;2424,017815
51,985;27,45;894,663;0,134172535;3204,693626
53,462;26,495;883,679;0,125303839;2406,605357
53,204;27,088;908,031;0,130008681;3588,946757
52,797;27,029;913,036;0,13274851;2044,6198
52,507;28,315;960,395;0,141180828;2424,017815
46,966;27,327;837,381;0,153856625;3366,00856
52,515;27,778;950,968;0,139752443;3760,812589
52,515;27,778;950,968;0,139752443;2591,197066
52,515;27,778;950,968;0,139752443;3649,202627
51,092;25,976;839,734;0,130375557;3525,788543
52,836;27,309;899,676;0,130613034;3004,003098
51,789;26,738;901,574;0,136234334;3760,812589
53,525;27,16;927,753;0,131243941;3742,605965
52,937;27,021;916,035;0,13248102;2507,963877
52,024;26,93;903,282;0,135262098;2611,725209
51,741;27,336;901,512;0,136477834;4039,680016
52,376;27,019;912,585;0,13482453;3633,097227
52,011;27,619;918,319;0,137582567;3059,568643
51,84;26,688;891,025;0,134375517;3576,94649
52,185;26,609;889,134;0,132323228;2424,017815
53,564;27,252;940,305;0,132825968;3794,357309
52,67;26,592;899,631;0,131431063;2370,575475
54,272;25,822;867,995;0,119433406;3588,946757
53,171;26,829;909,357;0,130360196;4429,837815
52,029;27,093;903,005;0,135194631;2924,209933
52,477;27,458;915,001;0,134661614;2730,241602
53,062;27,449;935,258;0,134624607;3043,903328
52,356;26,908;880,811;0,130229705;3742,605965
52,635;26,414;888,081;0,129916278;3635,785771
53,336;26,426;889,974;0,12679341;3760,812589
52,281;26,773;891,217;0,132146583;3588,946757
53,043;27,681;941,11;0,135564032;2591,197066
52,876;26,685;903,157;0,130920095;3760,812589
53,221;27,039;915,542;0,13100035;3760,812589
53,221;27,039;915,542;0,13100035;1146,252204
53,221;27,039;915,542;0,13100035;3644,180797
53,111;27,867;931,467;0,133831628;3455,169764
53,79;27,886;975,571;0,136652015;2470,548657
54,171;26,942;931,342;0,128628063;3900,092851
52,66;27,226;909,204;0,132880078;3726,207581
53,499;26,743;919,395;0,13018803;3523,435202
53,108;27,386;927,989;0,133346979;2986,355527
53,108;27,386;927,989;0,133346979;1095,802999
53,108;27,386;927,989;0,133346979;3035,505354
53,024;27,418;926,691;0,1335827;3192,148082
53,024;27,418;926,691;0,1335827;3588,946757
53,024;27,418;926,691;0,1335827;3649,202627
52,47;27,312;908,996;0,133813549;2183,722742
52,48;26,681;899,381;0,132347671;2286,146357
53,502;27,239;926,143;0,131128852;3900,092851
53,915;27,485;928,378;0,129439214;4429,837815
53,026;27,051;911,328;0,131358211;3649,202627
53,774;27,144;923,491;0,129433957;4429,837815
50,616;25,785;786,71;0,124451253;1828,188443
49,998;25,162;797,658;0,12932179;1123,27682
52,544;27,016;906,226;0,133030279;835,2572543
53,447;27,734;934,612;0,13260043;2194,554508
52,717;27,184;899,235;0,131139062;2839,40791
50,822;26,188;847,787;0,133028133;3577,07446
52,743;25,608;852,632;0,124220198;3741,250945
51,9;27,681;914,508;0,137598291;3017,805215
52,143;27,243;897,402;0,133768929;3588,946757
50,925;27,155;890,127;0,139107372;3458,857111
54,099;27,37;946,865;0,13112027;2646,593158
52,829;27,255;912,064;0,13244659;3649,202627
52,913;27,744;941,957;0,136353583;3525,788543
53,026;27,278;923,026;0,133044353;3072,197954
53,425;27,577;945,615;0,134272024;4429,837815
52,31;27,384;913,55;0,135307892;2933,475947
52,31;27,384;913,55;0,135307892;844,0646231
52,31;27,384;913,55;0,135307892;2774,019436
52,31;27,384;913,55;0,135307892;3588,946757
52,578;27,426;922,227;0,135204129;2366,055726
52,691;27,905;930,877;0,135887549;3588,946757
53,098;26,224;891,862;0,128204001;3577,07446
52,879;27,04;909,974;0,131893309;3649,202627
53,087;26,397;852,251;0,122560747;3588,946757
51,203;27,059;884,066;0,136663998;3588,946757
53,221;27,708;934,098;0,133655436;3649,202627
48,633;27,019;797,513;0,136658263;2746,354811
53,226;27,41;927,961;0,132752378;2306,75481
53,703;27,548;924,699;0,129946187;3509,550865
54,164;28,044;955,522;0,132001686;3192,148082
53,687;26,782;895,118;0,125864213;2932,509426
53,708;27,412;946,455;0,132978753;2286,146357
52,215;26,962;898,555;0,133571667;2054,930933
52,215;26,962;898,555;0,133571667;3649,202627
53,045;27,278;907,205;0,130670266;3649,202627
52,599;26,804;896,146;0,131275609;4102,156283
52,823;28,511;958,535;0,139226561;2424,017815
53,137;27,678;937,347;0,134544694;3481,244848
53,137;27,678;937,347;0,134544694;3649,202627
53,682;27,337;926,434;0,130291882;3514,624883
53,682;27,337;926,434;0,130291882;3588,946757
53,682;27,337;926,434;0,130291882;2591,197066
53,335;27,469;925,136;0,131807835;3649,202627
52,365;27,479;907,205;0,134086009;3588,946757
52,426;26,623;889,988;0,131235385;3726,207581
54,103;27,444;912,217;0,126303595;3760,812589
52,544;26,556;880,97;0,129322801;4070,945946
53,497;26,983;902,998;0,127875745;3588,946757
53,629;27,073;913,556;0,128734818;1441,092093
52,462;27,492;920,978;0,135618775;2988,405789
54,115;27,288;925,9;0,128141264;4429,837815
49,313;27,055;840,352;0,140055006;3900,092851
53,153;27,122;919,52;0,131906398;3649,202627
52,917;27,504;916,618;0,132665561;1123,27682
53,3;27,746;928,232;0,132422677;3531,572589
54,38;28,003;953,078;0,130620182;2414,382004
54,38;28,003;953,078;0,130620182;3726,207581
53,155;27,65;939,52;0,134765284;3900,092851
53,717;27,333;923,185;0,129665812;3760,812589
53,853;28,061;970,095;0,135567226;3649,202627
53,868;27,388;944,879;0,131969855;2717,28705
50,607;25,683;835,638;0,132238295;3912,908032
53,864;27,422;929,121;0,129788233;3649,202627
53,075;27,468;922,956;0,132788736;1344,195765
53,821;26,764;923,123;0,129156507;3900,092851
51,301;27,69;914,486;0,140826908;3649,202627
52,294;26,829;891,383;0,132105491;3900,092851
54,643;26,821;942,484;0,127927868;3576,94649
54,012;27,214;926,427;0,12870367;3649,202627
52,465;27,317;918,902;0,135297599;3484,64509
51,324;26,63;855,388;0,131608036;3649,202627
52,736;26,98;906,017;0,132032918;3726,207581
54,262;27,136;921,998;0,126910814;2286,146357
53,337;27,565;938,798;0,133744285;3649,202627
52,79;26,475;861,171;0,12524094;2774,019436
52,79;26,475;861,171;0,12524094;3649,202627
52,79;26,475;861,171;0,12524094;3350,890701
52,79;26,475;861,171;0,12524094;2424,017815
53,274;27,979;940,853;0,134354249;1828,188443
53,274;27,979;940,853;0,134354249;3588,946757
53,274;27,979;940,853;0,134354249;3588,946757
52,932;27,474;922,922;0,133502266;2424,017815
53,724;27,749;946,372;0,132887903;3525,788543
53,361;27,198;910,606;0,12961129;2424,017815
51,93;23,777;828,952;0,124581336;2901,134554
53,537;26,755;908,447;0,128455226;2424,017815
54,274;27,952;938,906;0,129181017;4429,837815
53,504;27,127;905,913;0,128254979;2267,740218
54,422;27,628;941,603;0,128848416;3649,202627
54,417;27,69;947,233;0,129642642;2924,209933
49,988;26,086;829,821;0,134590109;2562,277081
53,737;27,379;929,35;0,130434571;3726,207581
53,689;27,463;925,573;0,130136851;3723,233188
53,351;27,331;932,953;0,13284184;4429,837815
53,351;27,331;932,953;0,13284184;3325,196746
53,265;28,191;975,057;0,139285654;2366,055726
52,256;26,691;911,467;0,135278528;3649,202627
53,956;28,772;980,17;0,136452708;3649,202627
50,962;27,191;877,777;0,136978219;1895,716318
50,962;27,191;877,777;0,136978219;2591,197066
50,962;27,191;877,777;0,136978219;2646,423352
53,098;26,967;915,396;0,131586983;3534,520046
55,464;26,542;884,379;0,116513512;3525,788543
53,602;28,317;952,932;0,134418848;3900,092851
50,737;26,769;864,379;0,13608645;3633,097227
53,274;27,487;927,253;0,132412163;3723,233188
54,329;27,703;959,972;0,131812133;3649,202627
53,272;26,289;876,229;0,125135307;3350,890701
54,942;28,576;999,722;0,13422412;4236,267854
54,801;28,328;970,616;0,130987763;3438,130568
53,587;28,507;969,295;0,136803538;4429,837815
54,413;27,455;931,363;0,127489344;3760,812589
55,42;28,229;992,378;0,130949647;2194,554508
54,078;27,038;927,684;0,128563909;3016,10232
54,078;27,038;927,684;0,128563909;2924,209933
54,078;27,038;927,684;0,128563909;3649,202627
50,985;25,931;830,265;0,129447042;3588,946757
54,07;28,104;972,259;0,13478125;2366,055726
54,325;27,983;967,011;0,132798201;3588,946757
51,999;27,267;902,97;0,135345426;3726,207581
52,292;27,146;910,544;0,134955528;3760,812589
54,459;27,335;946,643;0,129362127;3649,202627
54,501;28,3;972,329;0,132667499;2924,209933
52,222;26,473;853,681;0,126867056;2424,017815
54,868;27,127;918,083;0,123595862;2774,019436
52,504;28,14;922,442;0,135617125;2366,055726
55,957;27,374;943,54;0,122127008;3481,244848
55,957;27,374;943,54;0,122127008;2342,558336
55,957;27,374;943,54;0,122127008;3649,202627
54,95;28,155;983,311;0,131982317;1123,27682
55,869;28,285;993,883;0,129048723;2924,209933
55,29;28,213;986,377;0,130770566;3110,097562
55,388;28,044;958,819;0,126667591;3649,202627
55,801;28,601;1026,748;0,133641133;2554,543392
54,109;28,627;980,638;0,135746909;2355,88412
52,48;27,428;927,885;0,136542153;4429,837815
55,442;28,212;974,474;0,128485088;3649,202627
55,343;28,751;1003,402;0,132773014;2366,055726
55,021;27,93;960,673;0,128611224;3508,102606
53,716;27,679;939,819;0,132007053;2519,53475
54,842;27,992;976,612;0,131599953;2554,543392
55,363;28,336;978,917;0,129439518;3760,812589
54,139;27,252;937,146;0,129582705;2159,812733
57,324;27,677;998,48;0,123147795;3577,07446
53,846;27,694;927,325;0,129623971;2895,246156
52,345;26,384;853,167;0,126195505;3649,202627
55,393;28,356;995,508;0,131490758;2286,146357
53,202;27,23;912,411;0,130645616;3061,259138
54,115;28,017;947,517;0,13113298;2917,838862
55,534;28,866;1019,75;0,134009642;4429,837815
50,671;26,199;833,201;0,131519781;2366,055726
50,749;25,341;792,465;0,124705428;2355,88412
53,55;27,144;895,865;0,126614623;3096,098707
